@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,1825,266,0.872788,1,0.027186,1,0.972814,0.052932,0.875817,1.141791,0
51,0,1824,267,0.87231,1,0.0272,1,0.9728,0.05296,0.87535,1.1424,0
51,0,1823,268,0.871832,1,0.027215,1,0.972785,0.052987,0.874883,1.14301,0
51,0,1822,269,0.871353,1,0.027229,1,0.972771,0.053015,0.874416,1.14362,0
51,0,1821,270,0.870875,1,0.027244,1,0.972756,0.053042,0.87395,1.144231,0
51,0,1820,271,0.870397,1,0.027258,1,0.972742,0.05307,0.873483,1.144842,0
51,0,1819,272,0.869919,1,0.027273,1,0.972727,0.053097,0.873016,1.145455,0
51,0,1818,273,0.86944,1,0.027287,1,0.972713,0.053125,0.872549,1.146067,0
51,0,1817,274,0.868962,1,0.027302,1,0.972698,0.053153,0.872082,1.146681,0
51,0,1816,275,0.868484,1,0.027317,1,0.972683,0.05318,0.871615,1.147295,0
51,0,1815,276,0.868006,1,0.027331,1,0.972669,0.053208,0.871148,1.14791,0
51,0,1814,277,0.867527,1,0.027346,1,0.972654,0.053236,0.870682,1.148525,0
51,0,1813,278,0.867049,1,0.027361,1,0.972639,0.053264,0.870215,1.149142,0
51,0,1812,279,0.866571,1,0.027375,1,0.972625,0.053292,0.869748,1.149758,0
51,0,1811,280,0.866093,1,0.02739,1,0.97261,0.053319,0.869281,1.150376,0
51,0,1810,281,0.865615,1,0.027405,1,0.972595,0.053347,0.868814,1.150994,0
51,0,1809,282,0.865136,1,0.027419,1,0.972581,0.053375,0.868347,1.151613,0
51,0,1808,283,0.864658,1,0.027434,1,0.972566,0.053403,0.86788,1.152232,0
51,0,1807,284,0.86418,1,0.027449,1,0.972551,0.053431,0.867414,1.152853,0
51,0,1806,285,0.863702,1,0.027464,1,0.972536,0.053459,0.866947,1.153473,0
51,0,1805,286,0.863223,1,0.027478,1,0.972522,0.053487,0.86648,1.154095,0
51,0,1804,287,0.862745,1,0.027493,1,0.972507,0.053515,0.866013,1.154717,0
51,0,1803,288,0.862267,1,0.027508,1,0.972492,0.053543,0.865546,1.15534,0
51,0,1802,289,0.861789,1,0.027523,1,0.972477,0.053571,0.865079,1.155963,0
51,0,1801,290,0.86131,1,0.027538,1,0.972462,0.0536,0.864613,1.156587,0
51,0,1800,291,0.860832,1,0.027553,1,0.972447,0.053628,0.864146,1.157212,0
51,0,1799,292,0.860354,1,0.027568,1,0.972432,0.053656,0.863679,1.157838,0
